# name: weight_initial
1,1,1,1
# name: weight_final
81.50000000000041,248.7000000000001,-399.4000000000007,-182.4000000000003

# name: weight_initial
10,10,10,10
# name: weight_final
90.50000000000045,257.7000000000001,-390.4000000000007,-173.4000000000003

# name: weight_initial
100,100,100,100
# name: weight_final
15.90000000000041,227.6000000000001,-335.2000000000003,-86.89999999999988

# name: weight_initial
500,500,500,500
# name: weight_final
-91.99999999999956,388.6999999999998,-328.5000000000002,179.899999999999


# name: weight_initial
1000,1000,1000,1000
# name: weight_final
-206.5,631.2999999999992,-385.2000000000013,478.7000000000052
