5.1,3.5,1.4,0.2,17.85,4.899999999999999,0.28,1.02,26.01,12.25,1.96,0.04000000000000001,1
4.9,3,1.4,0.2,14.7,4.199999999999999,0.28,0.9800000000000001,24.01000000000001,9,1.96,0.04000000000000001,1
5.7,2.8,4.5,1.3,15.96,12.6,5.850000000000001,7.41,32.49,7.839999999999999,20.25,1.69,-1
4.6,3.4,1.4,0.3,15.64,4.76,0.42,1.38,21.16,11.56,1.96,0.09,1
7.2,3,5.8,1.6,21.6,17.4,9.279999999999999,11.52,51.84,9,33.64,2.56,-1
7.4,2.8,6.1,1.9,20.72,17.08,11.59,14.06,54.76000000000001,7.839999999999999,37.20999999999999,3.61,-1
6,2.2,4,1,13.2,8.800000000000001,4,6,36,4.840000000000001,16,1,-1
6.1,2.9,4.7,1.4,17.69,13.63,6.58,8.539999999999999,37.20999999999999,8.41,22.09,1.96,-1
5.1,3.8,1.5,0.3,19.38,5.699999999999999,0.45,1.53,26.01,14.44,2.25,0.09,1
4.6,3.6,1,0.2,16.56,3.6,0.2,0.9199999999999999,21.16,12.96,1,0.04000000000000001,1
5.1,3.3,1.7,0.5,16.83,5.609999999999999,0.85,2.55,26.01,10.89,2.89,0.25,1
6.7,3.1,4.4,1.4,20.77,13.64,6.16,9.379999999999999,44.89,9.610000000000001,19.36,1.96,-1
5.6,3,4.5,1.5,16.8,13.5,6.75,8.399999999999999,31.36,9,20.25,2.25,-1
4.8,3.4,1.9,0.2,16.32,6.46,0.38,0.96,23.04,11.56,3.61,0.04000000000000001,1
5,3,1.6,0.2,15,4.800000000000001,0.3200000000000001,1,25,9,2.56,0.04000000000000001,1
5.8,2.7,3.9,1.2,15.66,10.53,4.68,6.96,33.64,7.290000000000001,15.21,1.44,-1
6,2.7,5.1,1.6,16.2,13.77,8.16,9.600000000000001,36,7.290000000000001,26.01,2.56,-1
5,3.4,1.6,0.4,17,5.44,0.6400000000000001,2,25,11.56,2.56,0.16,1
5.2,3.5,1.5,0.2,18.2,5.25,0.3,1.04,27.04,12.25,2.25,0.04000000000000001,1
5.2,3.4,1.4,0.2,17.68,4.76,0.28,1.04,27.04,11.56,1.96,0.04000000000000001,1
5.8,2.7,5.1,1.9,15.66,13.77,9.69,11.02,33.64,7.290000000000001,26.01,3.61,-1
6.8,3.2,5.9,2.3,21.76,18.88,13.57,15.64,46.23999999999999,10.24,34.81,5.289999999999999,-1
5,3.2,1.2,0.2,16,3.84,0.24,1,25,10.24,1.44,0.04000000000000001,1
5.5,3.5,1.3,0.2,19.25,4.55,0.26,1.1,30.25,12.25,1.69,0.04000000000000001,1
5,3.5,1.6,0.6,17.5,5.600000000000001,0.96,3,25,12.25,2.56,0.36,1
5.1,3.8,1.9,0.4,19.38,7.22,0.76,2.04,26.01,14.44,3.61,0.16,1
4.3,3,1.1,0.1,12.9,3.3,0.11,0.43,18.49,9,1.21,0.01,1
5,2.3,3.3,1,11.5,7.589999999999999,3.3,5,25,5.289999999999999,10.89,1,-1
5.6,2.7,4.2,1.3,15.12,11.34,5.460000000000001,7.279999999999999,31.36,7.290000000000001,17.64,1.69,-1
5.7,3,4.2,1.2,17.1,12.6,5.04,6.84,32.49,9,17.64,1.44,-1
5.7,2.9,4.2,1.3,16.53,12.18,5.460000000000001,7.41,32.49,8.41,17.64,1.69,-1
4.8,3,1.4,0.3,14.4,4.199999999999999,0.42,1.44,23.04,9,1.96,0.09,1
5.1,3.8,1.6,0.2,19.38,6.08,0.3200000000000001,1.02,26.01,14.44,2.56,0.04000000000000001,1
4.6,3.2,1.4,0.2,14.72,4.48,0.28,0.9199999999999999,21.16,10.24,1.96,0.04000000000000001,1
6.4,3.2,4.5,1.5,20.48,14.4,6.75,9.600000000000001,40.96000000000001,10.24,20.25,2.25,-1
6.9,3.1,4.9,1.5,21.39,15.19,7.350000000000001,10.35,47.61000000000001,9.610000000000001,24.01000000000001,2.25,-1
5.5,2.3,4,1.3,12.65,9.199999999999999,5.2,7.15,30.25,5.289999999999999,16,1.69,-1
5,3.6,1.4,0.2,18,5.04,0.28,1,25,12.96,1.96,0.04000000000000001,1
5.4,3.9,1.7,0.4,21.06,6.63,0.68,2.16,29.16,15.21,2.89,0.16,1
6.3,3.3,4.7,1.6,20.79,15.51,7.52,10.08,39.69,10.89,22.09,2.56,-1
4.9,2.4,3.3,1,11.76,7.919999999999999,3.3,4.9,24.01000000000001,5.76,10.89,1,-1
6.6,2.9,4.6,1.3,19.14,13.34,5.98,8.58,43.56,8.41,21.16,1.69,-1
5.2,2.7,3.9,1.4,14.04,10.53,5.46,7.279999999999999,27.04,7.290000000000001,15.21,1.96,-1
5,2,3.5,1,10,7,3.5,5,25,4,12.25,1,-1
5.9,3,4.2,1.5,17.7,12.6,6.300000000000001,8.850000000000001,34.81,9,17.64,2.25,-1
5.4,3,4.5,1.5,16.2,13.5,6.75,8.100000000000001,29.16,9,20.25,2.25,-1
6,3.4,4.5,1.6,20.4,15.3,7.2,9.600000000000001,36,11.56,20.25,2.56,-1
6.7,3.1,4.7,1.5,20.77,14.57,7.050000000000001,10.05,44.89,9.610000000000001,22.09,2.25,-1
5,3.5,1.3,0.3,17.5,4.55,0.39,1.5,25,12.25,1.69,0.09,1
6.3,2.3,4.4,1.3,14.49,10.12,5.720000000000001,8.19,39.69,5.289999999999999,19.36,1.69,-1
5.6,3,4.1,1.3,16.8,12.3,5.33,7.279999999999999,31.36,9,16.81,1.69,-1
5.5,2.5,4,1.3,13.75,10,5.2,7.15,30.25,6.25,16,1.69,-1
5.5,2.6,4.4,1.2,14.3,11.44,5.28,6.6,30.25,6.760000000000001,19.36,1.44,-1
6.1,3,4.6,1.4,18.3,13.8,6.44,8.539999999999999,37.20999999999999,9,21.16,1.96,-1
5.8,2.6,4,1.2,15.08,10.4,4.8,6.96,33.64,6.760000000000001,16,1.44,-1
7.9,3.8,6.4,2,30.02,24.32,12.8,15.8,62.41,14.44,40.96000000000001,4,-1
5.4,3.7,1.5,0.2,19.98,5.550000000000001,0.3,1.08,29.16,13.69,2.25,0.04000000000000001,1
4.8,3.4,1.6,0.2,16.32,5.44,0.3200000000000001,0.96,23.04,11.56,2.56,0.04000000000000001,1
4.8,3,1.4,0.1,14.4,4.199999999999999,0.14,0.48,23.04,9,1.96,0.01,1
6.2,2.9,4.3,1.3,17.98,12.47,5.59,8.06,38.44,8.41,18.49,1.69,-1
5.1,2.5,3,1.1,12.75,7.5,3.3,5.61,26.01,6.25,9,1.21,-1
5.7,2.8,4.1,1.3,15.96,11.48,5.33,7.41,32.49,7.839999999999999,16.81,1.69,-1
6.3,3.3,6,2.5,20.79,19.8,15,15.75,39.69,10.89,36,6.25,-1
5.8,2.7,5.1,1.9,15.66,13.77,9.69,11.02,33.64,7.290000000000001,26.01,3.61,-1
7.1,3,5.9,2.1,21.3,17.7,12.39,14.91,50.41,9,34.81,4.41,-1
6.3,2.9,5.6,1.8,18.27,16.24,10.08,11.34,39.69,8.41,31.36,3.24,-1
7.2,3.6,6.1,2.5,25.92,21.96,15.25,18,51.84,12.96,37.20999999999999,6.25,-1
6.5,3.2,5.1,2,20.8,16.32,10.2,13,42.25,10.24,26.01,4,-1
6.4,2.7,5.3,1.9,17.28,14.31,10.07,12.16,40.96000000000001,7.290000000000001,28.09,3.61,-1
6.8,3,5.5,2.1,20.4,16.5,11.55,14.28,46.23999999999999,9,30.25,4.41,-1
5.7,2.5,5,2,14.25,12.5,10,11.4,32.49,6.25,25,4,-1
